field.header.seq,%time,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.location,field.serial_number,%time,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,%time,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8,%time,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,%time,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance,%time,field.header.stamp,field.header.frame_id,field.temperature,field.variance
62,1.5740697879568707e+18,1.5740697879564984e+18,,16.3549995422,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697879762125e+18,1.5740697879759928e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,1.22464679915e-19,0.001,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0980665,0.0980665,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697879762033e+18,1.5740697879759928e+18,base_link,116000.0,217000.0,-378000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574069801832613e+18,1.5740698018324298e+18,map,1.56538295746,-1.70605707169,0.170669794083,-0.00729700413177,-0.00441727481496,-0.235295705759,-0.971886398848,1.5740697879952123e+18,1.574069787994905e+18,base_link,94246.6247559,0.0,1.5740697879951864e+18,1.574069787994905e+18,base_link,42.96,0.0
63,1.5740697881914934e+18,1.574069788191225e+18,,16.3579998016,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697882264164e+18,1.574069788226006e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.44929359829e-19,0.002,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.0784532,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697882263642e+18,1.574069788226006e+18,base_link,110000.0,218000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698021338906e+18,1.5740698021334973e+18,map,1.63642835617,-1.72590494156,0.177448511124,-0.00640620720717,-0.00862619536697,-0.235091916041,-0.971913751459,1.5740697882329958e+18,1.5740697882325417e+18,base_link,94244.2260742,0.0,1.5740697882329874e+18,1.5740697882325417e+18,base_link,42.96,0.0
64,1.5740697884432105e+18,1.5740697884429217e+18,,16.4090003967,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.574069788470586e+18,1.574069788470334e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.0784532,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697884705859e+18,1.574069788470334e+18,base_link,108000.0,221000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574069802412102e+18,1.574069802411895e+18,map,1.67291545868,-1.72770643234,0.185823202133,-0.00626771766078,-0.0081829010016,-0.234293348008,-0.972111301717,1.5740697884811151e+18,1.5740697884808474e+18,base_link,94249.3713379,0.0,1.574069788481062e+18,1.5740697884808474e+18,base_link,42.96,0.0
65,1.5740697886911532e+18,1.5740697886909235e+18,,16.4740009308,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697887117873e+18,1.5740697887113523e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.08825985,9.81645665,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.574069788711749e+18,1.5740697887113523e+18,base_link,112000.0,221000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698026940244e+18,1.5740698026935644e+18,map,1.7241692543,-1.71002912521,0.192037582397,-0.00606674699867,-0.00882763160455,-0.234577059018,-0.972038513066,1.5740697887139904e+18,1.5740697887134986e+18,base_link,94248.5473633,0.0,1.574069788713896e+18,1.5740697887134986e+18,base_link,42.96,0.0
66,1.5740697889121352e+18,1.5740697889118126e+18,,16.3549995422,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697889303508e+18,1.5740697889301338e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22464679915e-19,0.001,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.0784532,9.79684335,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697889303378e+18,1.5740697889301338e+18,base_link,112000.0,218000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698029723807e+18,1.5740698029721037e+18,map,1.75354909897,-1.68310880661,0.1965944767,-0.00609945919659,-0.00782076546417,-0.234535701739,-0.972056910286,1.57406978895185e+18,1.5740697889516093e+18,base_link,94245.5444336,0.0,1.5740697889517883e+18,1.5740697889516093e+18,base_link,42.96,0.0
67,1.574069789155261e+18,1.5740697891550308e+18,,16.3579998016,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697891817539e+18,1.5740697891815002e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0980665,0.0784532,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697891817236e+18,1.5740697891815002e+18,base_link,118000.0,218000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698032347927e+18,1.574069803234351e+18,map,1.75980901718,-1.65109300613,0.189723014832,-0.00591697391761,-0.00790394286434,-0.235076152337,-0.971926807794,1.574069789196662e+18,1.5740697891964508e+18,base_link,94246.8322754,0.0,1.574069789196646e+18,1.5740697891964508e+18,base_link,42.96,0.0
68,1.5740697893929114e+18,1.5740697893925307e+18,,16.3439998627,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697894143834e+18,1.574069789414116e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.06864655,9.80665,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.5740697894143872e+18,1.574069789414116e+18,base_link,107000.0,221000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698035161595e+18,1.574069803515782e+18,map,1.74995708466,-1.63026762009,0.18562078476,-0.00550313922877,-0.00806869710608,-0.235202170979,-0.971897397029,1.5740697894490732e+18,1.574069789448624e+18,base_link,94247.0458984,0.0,1.5740697894490734e+18,1.574069789448624e+18,base_link,42.96,0.0
69,1.5740697896319089e+18,1.5740697896317588e+18,,16.4729995728,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697896553684e+18,1.5740697896552253e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.44929359829e-19,0.002,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.0784532,9.77723005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.574069789655469e+18,1.5740697896552253e+18,base_link,109000.0,218000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698038325489e+18,1.57406980383236e+18,map,1.76587152481,-1.61360311508,0.171518325806,-0.00580709052264,-0.00669650920228,-0.235010319318,-0.971952459886,1.574069789671671e+18,1.574069789671429e+18,base_link,94247.7661133,0.0,1.5740697896716575e+18,1.574069789671429e+18,base_link,42.96,0.0
70,1.5740697898812362e+18,1.5740697898808978e+18,,16.452999115,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.574069789896909e+18,1.5740697898965637e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,-2.44929359829e-19,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.08825985,0.0784532,9.77723005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.574069789896893e+18,1.5740697898965637e+18,base_link,109000.0,222000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698041180436e+18,1.574069804117601e+18,map,1.83535718918,-1.57404470444,0.155454397202,-0.00577436108685,-0.00755526764448,-0.235082262431,-0.971928960663,1.5740697899118804e+18,1.574069789911598e+18,base_link,94248.0651855,0.0,1.5740697899118502e+18,1.574069789911598e+18,base_link,42.96,0.0
71,1.5740697901115802e+18,1.57406979011139e+18,,16.3560009003,-0.0,,,,0.990000009537,2.0,0.0,0.0,1.0,id0,,1.5740697901362803e+18,1.574069790136056e+18,base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,1.22464679915e-19,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0980665,0.08825985,9.7870367,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08,1.574069790136261e+18,1.574069790136056e+18,base_link,118000.0,218000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5740698043882906e+18,1.5740698043880215e+18,map,1.86326646805,-1.5526509285,0.146318912506,-0.00589643748489,-0.00891169218152,-0.235730081454,-0.971759817272,1.5740697901611423e+18,1.5740697901609718e+18,base_link,94245.5688477,0.0,1.5740697901611348e+18,1.5740697901609718e+18,base_link,42.96,0.0
